"variable","type"
"S1","factor"
"S2_1","numeric"
"S2_2","numeric"
"S2_3","numeric"
"S2_4","numeric"
"S2_5","numeric"
"S2_6","numeric"
"S2_7","numeric"
"S3","factor"
"S4","factor"
"S5","factor"
"S6","numeric"
"S7","factor"
"S8_14_OTHER","factor"
"S9_15_OTHER","factor"
"S10","factor"
"S10_21_OTHER","factor"
"C1_1","numeric"
"C1_2","numeric"
"C1_3","numeric"
"C1_4","numeric"
"C1_5","numeric"
"C1_6","numeric"
"C1_7","numeric"
"C1_8","numeric"
"C1_9","numeric"
"C1_10","numeric"
"C1_11","numeric"
"C1_12","numeric"
"C1_13","numeric"
"C1_14","numeric"
"C1_15","numeric"
"C2","factor"
"C3","factor"
"C4","factor"
"C5","factor"
"C6","factor"
"C7","factor"
"C8","factor"
"C9","factor"
"C10","factor"
"C11","factor"
"C15","factor"
"L18","factor"
"L19","factor"
"L20","factor"
"L22","factor"
"C23","factor"
"L24","factor"
"C25","factor"
"C31","factor"
"C32","factor"
"C33","factor"
"C34_OTHER","factor"
"C35_OTHER","factor"
"C38","factor"
"C39","factor"
"C40","factor"
"C41","factor"
"C42","factor"
"C43","factor"
"C44","factor"
"C45","factor"
"L46","factor"
"C47","factor"
"C48","factor"
"C49","factor"
"C50","factor"
"C53","factor"
"C56","factor"
"C57","factor"
"C58","factor"
"C59","factor"
"C60","factor"
"C61","factor"
"C62","factor"
"C63","factor"
"C64","factor"
"C66","factor"
"C67","factor"
"C68","factor"
"C71","factor"
"C72","factor"
"C73","factor"
"C74","factor"
"C75","factor"
"C76","factor"
"C78","factor"
"C81","factor"
"C84","factor"
"C85_8_OTHER","factor"
"BL87","factor"
"BL88","factor"
"BL89","factor"
"BL90","factor"
"BL91","factor"
"BL92","factor"
"BL93","factor"
"BL94","factor"
"BL95","factor"
"BL96","factor"
"A103_TREATMENTS","factor"
"C106","factor"
"C107","factor"
"C108","factor"
"C109","factor"
"C110","factor"
"C111","factor"
"C112","factor"
"C113","factor"
"C114","factor"
"C115","factor"
"C118","factor"
"C119","factor"
"C120","factor"
"C121","factor"
"C129","factor"
"C129_8_OTHER","factor"
"BA132","factor"
"C137","factor"
"C138","factor"
"C139","factor"
"C140","factor"
"C141","factor"
"C142","factor"
"BLA146","factor"
"LA147","factor"
"C150","factor"
"C152","factor"
"BL155","factor"
"C158","factor"
"BL171","factor"
"BL172","factor"
"BL173","factor"
"BL174","factor"
"BL175","factor"
"BL176","factor"
"BLA190","factor"
"BLA191","factor"
"L192","factor"
"LA193","factor"
"C194","factor"
"L195_1","numeric"
"L195_2","numeric"
"L195_3","numeric"
"L199","factor"
"LA200","factor"
"LA201","factor"
"LA201A","factor"
"LA202_NONE","factor"
"LA203","factor"
"LA204","factor"
"BLA205","factor"
"BLA206","factor"
"BLA207","factor"
"BLA208","factor"
"L209","factor"
"L212","factor"
"L213","factor"
"L214","factor"
"L215","factor"
"L216NAME_HID","factor"
"L216DESC_HID","factor"
"PRONOUN1_HID","factor"
"PRONOUN2_HID","factor"
"L217","factor"
"L218","factor"
"L219","factor"
"L220","factor"
"C221","factor"
"C222","factor"
"C223","factor"
"C224","factor"
"C225","factor"
"C226","factor"
"BL227","factor"
"C228","factor"
"BL229","factor"
"L230","factor"
"L231","factor"
"L232","factor"
"C233","factor"
"C234","factor"
"C235","factor"
"C236","factor"
"C237","factor"
"C237_7_OTHER","factor"
"C238","factor"
"C239","factor"
"C240","factor"
"L241","factor"
"C242A","factor"
"C243","factor"
"C244","factor"
"C245","factor"
"C246","factor"
"C247","factor"
"C248","factor"
"C249","factor"
"LA250","factor"
"C251","factor"
"C259_OTHER","factor"
"C242B","factor"
"C263","factor"
"C264","factor"
"C265_1","numeric"
"C265_2","numeric"
"L266","factor"
"L267","factor"
"L268","factor"
"L269","factor"
"L270","factor"
"L271","factor"
"C272","numeric"
"C273","numeric"
"BLOCK_274_275","factor"
"C276","factor"
"C277","factor"
"C278","factor"
"C279","factor"
"C280","factor"
"C281","factor"
"C282","factor"
"C283","factor"
"C284","factor"
"C285","factor"
"C286","factor"
"C287","factor"
"C288","factor"
"C289","factor"
"L290","factor"
"L293","factor"
"L294","factor"
"L299","factor"
"L300","factor"
"L301","factor"
"L302","factor"
"LA303","factor"
"TIME_304","factor"
"C317","factor"
"C318","factor"
"C319","factor"
"C320","factor"
"C321","factor"
"C322","factor"
"C323","factor"
"C324","factor"
"C325","factor"
"C326","factor"
"C327","factor"
"C329","factor"
"C330","factor"
"C331","factor"
"C332","factor"
"C333","factor"
"C334","factor"
"C335","factor"
"C336","factor"
"C337","factor"
"C338","factor"
"C339","factor"
"C340","factor"
"C341","factor"
"C342","factor"
"C346","factor"
"C347_CITY","factor"
"C347_STATE","factor"
"C348","factor"
"C361","factor"
"C362","factor"
"C363","factor"
"L364","factor"
"L366","factor"
"C373","factor"
"C373_7_OTHER","factor"
"C375_6_OTHER","factor"
"C380","factor"
"C381","factor"
"C382M","factor"
"C382F","factor"
"C383","factor"
"C385","factor"
"C388","factor"
"C389","factor"
"C390","factor"
"C391_14_OTHER","factor"
"C392","factor"
