"variable","type","n_missing","pct_missing","bin"
"S8","factor",3002,100,">50%"
"S9","factor",3002,100,">50%"
"VID_BW304","factor",3002,100,">50%"
"ROTA370","factor",3002,100,">50%"
"C391_NONE","numeric",3002,100,">50%"
"BL17_SECOND","factor",2970,98.93,">50%"
"BL16_SECOND","factor",2951,98.3,">50%"
"L30R","factor",2860,95.27,">50%"
"BL17_FIRST","factor",2842,94.67,">50%"
"C85_1","numeric",2763,92.04,">50%"
"C85_2","numeric",2763,92.04,">50%"
"C85_3","numeric",2763,92.04,">50%"
"C85_4","numeric",2763,92.04,">50%"
"C85_5","numeric",2763,92.04,">50%"
"C85_6","numeric",2763,92.04,">50%"
"C85_7","numeric",2763,92.04,">50%"
"C85_8","numeric",2763,92.04,">50%"
"C384","factor",2761,91.97,">50%"
"L30D","factor",2714,90.41,">50%"
"C376","factor",2661,88.64,">50%"
"C378B_1","factor",2593,86.38,">50%"
"C375","factor",2586,86.14,">50%"
"C328_5","factor",2547,84.84,">50%"
"L28R","factor",2519,83.91,">50%"
"C328_7","factor",2483,82.71,">50%"
"C328_3","factor",2479,82.58,">50%"
"C328_4","factor",2477,82.51,">50%"
"C328_9","factor",2467,82.18,">50%"
"C252","factor",2449,81.58,">50%"
"C328_6","factor",2446,81.48,">50%"
"C328_8","factor",2446,81.48,">50%"
"C378M","factor",2387,79.51,">50%"
"C378F","factor",2387,79.51,">50%"
"C54","factor",2381,79.31,">50%"
"C55","factor",2381,79.31,">50%"
"C393","factor",2317,77.18,">50%"
"C394","numeric",2317,77.18,">50%"
"C82_1","numeric",2311,76.98,">50%"
"C82_2","numeric",2311,76.98,">50%"
"C82_3","numeric",2311,76.98,">50%"
"C82_4","numeric",2311,76.98,">50%"
"C82_5","numeric",2311,76.98,">50%"
"LA83_1","numeric",2311,76.98,">50%"
"LA83_2","numeric",2311,76.98,">50%"
"LA83_3","numeric",2311,76.98,">50%"
"L37","factor",2281,75.98,">50%"
"C79","factor",2171,72.32,">50%"
"C69","factor",2131,70.99,">50%"
"C70","factor",2131,70.99,">50%"
"L369","factor",2131,70.99,">50%"
"C374","numeric",2131,70.99,">50%"
"C35_1","numeric",2095,69.79,">50%"
"C35_2","numeric",2095,69.79,">50%"
"C35_3","numeric",2095,69.79,">50%"
"C35_4","numeric",2095,69.79,">50%"
"C35_5","numeric",2095,69.79,">50%"
"C328_2","factor",2086,69.49,">50%"
"C133_1","numeric",2060,68.62,">50%"
"C133_2","numeric",2060,68.62,">50%"
"C133_3","numeric",2060,68.62,">50%"
"C133_4","numeric",2060,68.62,">50%"
"C133_5","numeric",2060,68.62,">50%"
"C345","factor",2042,68.02,">50%"
"C259","factor",1994,66.42,">50%"
"C328_1","factor",1961,65.32,">50%"
"C27","factor",1921,63.99,">50%"
"L29","factor",1921,63.99,">50%"
"C67B","factor",1898,63.22,">50%"
"L365","factor",1871,62.33,">50%"
"C51","factor",1840,61.29,">50%"
"C52","factor",1840,61.29,">50%"
"BL16_FIRST","factor",1823,60.73,">50%"
"C379","factor",1668,55.56,">50%"
"L28D","factor",1564,52.1,">50%"
"L297","factor",1553,51.73,">50%"
"L210A","numeric",1527,50.87,">50%"
"L291","factor",1527,50.87,">50%"
"C274","factor",1523,50.73,">50%"
"L296","factor",1518,50.57,">50%"
"C350","factor",1518,50.57,">50%"
"C352","factor",1518,50.57,">50%"
"C354","factor",1518,50.57,">50%"
"C356","factor",1518,50.57,">50%"
"C358","factor",1518,50.57,">50%"
"C360","factor",1518,50.57,">50%"
"L367","factor",1509,50.27,">50%"
"L368","factor",1509,50.27,">50%"
"L197","factor",1507,50.2,">50%"
